"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Sep 01 15:50:35 GMT 2026","Tue Sep 01 15:52:08 GMT 2026","93336","Тренировочный проект на https://release-crm.qa-playground.com","dashboard_test","TestDashboard","","","Проверка кнопок меню в шапке со страницы Дашборды",""
"broken","Tue Sep 01 15:54:43 GMT 2026","Tue Sep 01 15:56:15 GMT 2026","91660","Тренировочный проект на https://release-crm.qa-playground.com","deals_test","TestDeals","","","Открытие сделки со страницы Дашборда, ввод текста и проверка ввода через страницу Сделок",""
"broken","Tue Sep 01 15:59:28 GMT 2026","Tue Sep 01 16:01:04 GMT 2026","95894","Тренировочный проект на https://release-crm.qa-playground.com","login_test","TestLogin","","","Тестирование авторизации",""
"broken","Tue Sep 01 15:47:29 GMT 2026","Tue Sep 01 15:48:30 GMT 2026","61306","Тренировочный проект на https://release-crm.qa-playground.com","contact_test","TestContact","","","Открытие контакта со страницы Дашборда, ввод текста и проверка ввода через страницу Контакты",""
